Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"10281-1","Icons","Botanical Collection",2021,"Bonsai Tree",,878,44.99,49.99,69.99,49.99,5702016914177,673419340533,26.2,38.2,7.1,0.76,"",0,0,0,,0,0,,,,,,,,,41.3700,28.9300,"01/01/2021","31/12/2024"
"75299-1","Star Wars","The Mandalorian",2021,"Trouble on Tatooine",3,276,24.99,29.99,39.99,29.99,5702016913989,,26.2,19.1,4.6,,"",0,0,0,,0,0,,,,,,,,,24.3600,18.3200,"01/01/2021","31/12/2022"
"10260-1","Creator Expert","Modular Buildings Collection",2018,"Downtown Diner",6,2480,129.99,169.99,219.99,149.99,5702016111842,,58,37.5,9.8,,"",0,0,0,,0,0,,,,,,,,,276.7300,256.9100,"01/01/2018","31/12/2020"
"10211-1","Advanced models","Modular Buildings Collection",2010,"Grand Emporium",7,2182,132.99,149.99,199.99,,,673419128957,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,485.9600,338.1600,"01/03/2010","31/12/2014"
"10266-1","Creator Expert","Space",2019,"NASA Apollo 11 Lunar Lander",2,1087,89.99,99.99,139.99,99.99,5702016368277,673419302432,48,28.2,9.1,,"",0,0,0,,0,0,,,,,,,,,90.1700,64.3900,"01/06/2019","31/12/2023"
"75192-1","Star Wars","Ultimate Collector Series",2017,"Millennium Falcon",8,7541,734.99,849.99,1049.99,849.99,5702015869935,673419267656,53.3,46,38.5,,"",0,0,0,,0,0,,,,,,,,,649.8100,569.5800,"01/10/2017","31/12/2024"
"7965-1","Star Wars","Episode IV",2011,"Millennium Falcon",6,1254,132.99,139.99,179.99,,5702014736955,673419145909,58.2,37.8,8.7,2.28,"",0,0,0,,0,0,,,,,,,,,199.6500,108.7500,"01/06/2011","31/12/2014"
"75060-1","Star Wars","Ultimate Collector Series",2015,"Slave I",4,1996,179.99,199.99,229.99,199.99,5702015123822,,58.1914,37.7952,11.811,3.05,"",0,0,0,,0,0,,,,,,,,,435.7700,349.7800,"01/01/2015","31/12/2018"
"9488-1","Star Wars","The Clone Wars",2012,"Elite Clone Trooper & Commando Droid Battle Pack",4,98,11.99,12.99,15.99,,5702014840409,673419167567,19.1,14.1,4.6,0.11,"",0,0,0,,0,0,,,,,,,,,107.8500,47.9100,"01/01/2012","31/12/2013"
"9496-1","Star Wars","Episode VI",2012,"Desert Skiff",4,213,24.99,24.99,29.99,,5702014840904,673419167871,35.4,19.1,5.9,0.44,"",0,0,0,,0,0,,,,,,,,,67.7100,46.0700,"01/06/2012","28/02/2014"
"75317-1","BrickHeadz","Star Wars",2020,"The Mandalorian & The Child",,295,17.99,19.99,24.99,19.99,5702016899856,673419337212,19.1,14.1,7.1,,"",0,0,0,,0,0,,,,,,,,,13.8800,9.7700,"01/08/2020","31/12/2023"
"75954-1","Harry Potter","Philosopher's Stone",2018,"Hogwarts Great Hall",10,878,89.99,99.99,129.99,99.99,5702016110371,673419281973,48,37.8,7.05,1.66,"",0,0,0,,0,0,,,,,,,,,106.6600,73.3200,"01/08/2018","31/07/2021"
"8092-1","Star Wars","Episode IV",2010,"Luke's Landspeeder",6,163,25.99,24.99,34.99,,5702014601307,673419129084,28.2,26.2,4.6,,"",0,0,0,,0,0,,,,,,,,,40.8500,20.6500,"01/01/2010","31/12/2012"
"75002-1","Star Wars","The Clone Wars",2013,"AT-RT",4,222,19.99,19.99,24.99,,5702014974906,673419191555,19.1,26.2,4.6,0.28,"",0,0,0,,0,0,,,,,,,,,52.5200,27.8500,"01/01/2013","31/12/2014"
"75254-1","Star Wars","The Mandalorian",2019,"AT-ST Raider",4,540,49.99,49.99,69.99,59.99,5702016370768,673419304399,26.2,38.2,7.1,,"",0,0,0,,0,0,,,,,,,,,38.5700,29.9000,"04/10/2019","31/12/2021"
"75183-1","Star Wars","Episode III",2017,"Darth Vader Transformation ",6,282,19.99,24.99,29.99,29.99,5702015868556,673419267571,26.2128,19.1008,6.096,0.3628736,"",0,0,0,,0,0,,,,,,,,,72.1000,41.9600,"01/06/2017","31/07/2019"
"75277-1","Star Wars","Helmet Collection",2020,"Boba Fett Helmet",,625,54.99,59.99,79.99,59.99,5702016617221,673419318433,19.1,35.4,11.8,0.87,"",0,0,0,,0,0,,,,,,,,,67.5300,50.7300,"19/04/2020","31/12/2022"
"60150-1","City","Traffic",2017,"Pizza Van",2,249,14.99,19.99,24.99,19.99,5702015865784,673419264693,26.2128,19.1008,6.096,0.4127687,"",0,0,0,,0,0,,,,,,,,,30.7700,15.3500,"",""
"10264-1","Creator Expert","Modular Buildings Collection",2019,"Corner Garage",6,2569,159.99,199.99,269.99,179.99,5702016368253,,57.7,47.4,8.6,3.044,"",0,0,0,,0,0,,,,,,,,,232.7100,218.6400,"01/01/2019","31/12/2021"
"7741-1","City","Police",2008,"Police Helicopter",1,94,9.99,9.99,12.99,,5702014517318,673419102537,24,14.4,4.8,0.17,"",0,0,0,,0,0,,,,,,,,,21.5300,4.4800,"",""
"9490-1","Star Wars","Episode IV",2012,"Droid Escape",4,137,19.99,19.99,24.99,,5702014840430,673419167581,26.2,19.1,4.6,0.25,"",0,0,0,,0,0,,,,,,,,,40.8100,22.8800,"01/01/2012","31/12/2013"
"7668-1","Star Wars","Miscellaneous",2008,"Rebel Scout Speeder",4,82,9.79,9.99,,,5702014517370,673419102599,19.2,14.4,4.8,0.14,"",0,0,0,,0,0,,,,,,,,,61.0600,20.0500,"01/01/2008","31/12/2009"
"9489-1","Star Wars","Episode VI",2012,"Endor Rebel Trooper & Imperial Trooper Battle Pack",4,77,11.99,12.99,15.99,,5702014840416,673419167574,19.1,14.1,4.6,0.11,"",0,0,0,,0,0,,,,,,,,,38.2000,16.9700,"01/01/2012","31/12/2013"
"75030-1","Star Wars","Microfighters",2014,"Millennium Falcon Microfighter",1,94,8.99,9.99,12.99,9.99,5702015121019,673419209212,14.097,12.192,4.5974,0.1,"",0,0,0,,0,0,,,,,,,,,17.4000,8.8000,"01/01/2014","31/07/2015"
"75153-1","Star Wars","Rogue One",2016,"AT-ST Walker",3,449,44.99,39.99,49.99,49.99,,673419248587,28.194,26.2128,5.8928,0.6441007,"",0,0,0,,0,0,,,,,,,,,82.2300,40.8100,"30/09/2016","31/12/2017"
"70841-1","The LEGO Movie 2","",2019,"Benny's Space Squad",5,68,8.99,9.99,13.99,9.99,5702016395396,673419308786,14.1,12.2,4.6,0.09,"",0,0,0,,0,0,,,,,,,,,22.8200,19.7600,"01/01/2019","31/12/2019"
"21303-1","Ideas","Licensed",2015,"WALL-E",,677,39.99,59.99,69.99,49.99,5702015535571,,19.1,26.2,9.1,,"",0,0,0,,0,0,,,,,,,,,247.3200,160.7300,"01/09/2015","31/12/2016"
"9493-1","Star Wars","Episode IV",2012,"X-wing Starfighter",4,560,49.99,59.99,74.99,,5702014840898,673419167864,48,28.2,7.4,0.9,"",0,0,0,,0,0,,,,,,,,,103.4100,51.9400,"01/01/2012","31/12/2014"
"10242-1","Creator Expert","Vehicles",2014,"MINI Cooper MK VII",,1077,79.99,99.99,119.99,89.99,5702015122467,,37.5,35,9,1.32,"",0,0,0,,0,0,,,,,,,,,212.0500,100.8300,"01/08/2014","31/08/2015"
"10254-1","Creator Expert","Winter Village Collection",2016,"Winter Holiday Train",5,734,74.99,99.99,129.99,89.99,5702015591065,,48,28,9,,"",0,0,0,,0,0,,,,,,,,,186.3900,170.1400,"01/10/2016","31/12/2019"
"21325-1","Ideas","",2021,"Medieval Blacksmith",4,2164,159.99,179.99,229.99,179.99,5702016911985,673419338349,47.8,37.4,9.8,2.416,"",0,0,0,,0,0,,,,,,,,,148.6900,125.3200,"01/02/2021","31/12/2023"
"75283-1","Star Wars","The Clone Wars",2020,"Armored Assault Tank (AAT)",4,286,34.99,39.99,49.99,39.99,5702016617276,673419318488,0,0,0,0,"",0,0,0,,0,0,,,,,,,,,50.8700,39.9700,"01/08/2020","31/12/2022"
"75953-1","Harry Potter","Chamber of Secrets",2018,"Hogwarts Whomping Willow",6,753,59.99,69.99,89.99,69.99,5702016110364,673419281966,48,28.2,7.4,1.1,"",0,0,0,,0,0,,,,,,,,,60.6200,43.6400,"01/08/2018","31/12/2021"
"10278-1","Icons","Modular Buildings Collection",2021,"Police Station",5,2923,169.99,199.99,269.99,199.99,5702016913729,673419340502,57.7,47.6,11.8,4.012,"",0,0,0,,0,0,,,,,,,,,182.7500,157.2200,"01/01/2021","31/12/2023"
"10197-1","Advanced models","Modular Buildings Collection",2009,"Fire Brigade",4,2231,99.99,149.99,199.99,,,673419121811,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,591.7800,646.0700,"01/09/2009","31/12/2013"
"7749-1","Star Wars","Episode V",2009,"Echo Base",5,155,24.99,24.99,29.99,,5702014537200,673419113304,28.2,26.2,6.4,0.34,"",0,0,0,,0,0,,,,,,,,,58.5200,36.6000,"01/06/2009","31/12/2010"
"7667-1","Star Wars","Miscellaneous",2008,"Imperial Dropship",4,81,9.79,9.99,,,5702014517363,673419102582,19.2,14.4,4.8,0.13,"",0,0,0,,0,0,,,,,,,,,44.9600,21.0400,"01/01/2008","31/12/2009"
